This is MadNLP version v0.8.3, running with cuDSS v0.1.0

Number of nonzeros in constraint Jacobian............:   407296
Number of nonzeros in Lagrangian Hessian.............:   281600

Total number of variables............................:   112750
                     variables with only lower bounds:    56320
                variables with lower and upper bounds:      110
                     variables with only upper bounds:        0
Total number of equality constraints.................:   112640
Total number of inequality constraints...............:    14080
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:        0
        inequality constraints with only upper bounds:    14080

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 135  1.8767098e+01 1.39e-05 1.78e-02  -3.8 9.27e-02  -0.7 1.00e+00 1.00e+00h  1
 136  1.8735051e+01 5.09e-06 2.14e-02  -3.8 4.22e-02  -0.3 1.00e+00 1.00e+00h  1
 137  1.8720565e+01 5.82e-06 1.84e-01  -3.8 1.72e-01  -0.8 7.96e-01 1.30e-01h  1
 138  1.8718109e+01 1.05e-06 2.92e-01  -3.8 4.02e-01    -  4.51e-01 1.00e+00H  1
 139  1.8662295e+01 1.03e-05 3.84e-01  -3.8 3.85e-01  -1.3 7.23e-01 3.13e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  1.8579631e+01 3.65e-05 1.70e-01  -3.8 2.37e-01  -0.8 3.35e-01 4.44e-01h  1
 141  1.8643641e+01 3.18e-05 1.46e-02  -3.8 1.24e-01    -  1.00e+00 1.00e+00h  1
 142  1.8580633e+01 2.73e-05 5.44e-03  -3.8 1.38e-01  -1.3 6.76e-01 6.63e-01h  1
 143  1.8462111e+01 5.26e-05 4.26e-01  -3.8 7.46e-01  -1.8 2.08e-01 5.51e-01H  1
 144  1.8545035e+01 1.62e-05 5.72e-03  -3.8 1.74e-01    -  1.00e+00 1.00e+00h  1
 145  1.8493528e+01 5.43e-05 6.13e-02  -3.8 8.85e-01    -  1.54e-01 1.97e-01h  1
 146  1.8422676e+01 4.94e-05 1.80e-01  -3.8 3.06e-01    -  6.03e-01 1.00e+00h  1
 147  1.8293101e+01 7.19e-05 3.23e-01  -3.8 3.71e-01  -1.4 4.29e-01 8.20e-01h  1
